-1;NAME;cvalif
1;Старорусская - Q л.Мд;36749
2;Старорусская - Q АТ-2;36752
3;Старорусская - P л.Ст;36754
4;Старорусская - Ib л.Пф-1;36757
5;Старорусская - Q АТ-2-10;36758
6;Старорусская - Q л.Шм-1;36759
7;Старорусская - Ib ОВ-110;36761
8;Старорусская - Uab ТН-2-110;36763
9;Старорусская - Q л.Злч-1;36764
10;Старорусская - Q T-1-110;36766
11;Старорусская - Ib АТ-2;36768
12;Старорусская - P л.Пф-1;36769
13;Старорусская - Ib л.Злч-1;36772
14;Старорусская - Ib АТ-2-10;36773
15;Старорусская - Q л.Ст;36774
16;Старорусская - Ib л.Ст;36777
17;Старорусская - P ОВ-110;36779
18;Старорусская - Ib T-1-110;36781
19;Старорусская - Uab ТН-1-110;36783
20;Старорусская - P л.Мд;36784
21;Старорусская - P АТ-2;36787
22;Старорусская - Q л.Пф-1;36788
23;Старорусская - Ib л.Мд;36791
24;Старорусская - P АТ-2-10;36792
25;Старорусская - P л.Шм-1;36793
26;Старорусская - Ib л.Шм-1;36795
27;Старорусская - Q ОВ-110;36797
28;Старорусская - P л.Злч-1;36798
29;Старорусская - P T-1-110;36800
30;Старорусская - Ubc ТН-2-110;36802
31;Старорусская - Uca ТН-2-110;36803
32;Старорусская - Ubc ТН-1-110;36804
33;Старорусская - Uca ТН-1-110;36805
34;Старорусская - В-110 АТ-2;36806
35;Старорусская - В-110 л.Злч-1;36807
36;Старорусская - ОР-110 л.Злч-1;36808
37;Старорусская - ЛР-110 л.Злч-1;36809
38;Старорусская - 1ЗР-110 л.Злч-1;36810
39;Старорусская - 2ЗР-110 л.Злч-1;36811
40;Старорусская - В-110 л.Мд;36812
41;Старорусская - ОР-110 л.Мд;36813
42;Старорусская - ЛР-110 л.Мд;36814
43;Старорусская - 1ЗР-110 л.Мд;36815
44;Старорусская - 2ЗР-110 л.Мд;36816
45;Старорусская - В-110 л.Пф-1;36817
46;Старорусская - ОР-110 л.Пф-1;36818
47;Старорусская - ЛР-110 л.Пф-1;36819
48;Старорусская - 1ЗР-110 л.Пф-1;36820
49;Старорусская - 2ЗР-110 л.Пф-1;36821
50;Старорусская - В-110 л.Ст;36822
51;Старорусская - ОР-110 л.Ст;36823
52;Старорусская - ЛР-110 л.Ст;36824
53;Старорусская - 1ЗР-110 л.Ст;36825
54;Старорусская - 2ЗР-110 л.Ст;36826
55;Старорусская - В-110 л.Шм-1;36827
56;Старорусская - ОР-110 л.Шм-1;36828
57;Старорусская - ЛР-110 л.Шм-1;36829
58;Старорусская - 1ЗР-110 л.Шм-1;36830
59;Старорусская - 2ЗР-110 л.Шм-1;36831
60;Старорусская - ОВ-110;36832
61;Старорусская - ОР-110 ОВ;36833
62;Старорусская - В-110 Т-1;36834
63;Старорусская - ОР-110 Т-1;36835
64;Старорусская - Р-110 Т-1;36836
65;Старорусская - В-10 ТСН-1,4 ;36837
66;Старорусская - Обобщ. сигнал рез. защ. л.Злч-1;36838
67;Старорусская - Обобщ. сигнал рез. защ. л.Мд;36839
68;Старорусская - Обобщ. сигнал рез. защ. л.Пф-1;36840
69;Старорусская - Обобщ. сигнал рез. защ. л.Ст;36841
70;Старорусская - Обобщ. сигнал рез. защ. л.Шм-1;36842
71;Старорусская - Обобщ. сигнал рез. защ. ОВ-110;36843
72;Старорусская - Обобщ. сигнал рез. защ. Т-1;36844
73;Старорусская - Обобщ. сигнал рез. защ. МШВ-110;36845
74;Старорусская - Обобщ. сигнал рез. защ. АТ-2;36846
