"ID","ID_FORM","NAME","ID_TCTRL","FEATURE","PRECISION","TAG"
6500786,6503267,"31556",6,0,0,""
6500787,6503267,"27270",6,0,0,""
6500788,6503267,"31602",6,0,0,""
6500801,6503267,"27099",6,0,0,""
6500802,6503267,"36854",6,0,0,""
6500803,6503267,"120950095",6,0,0,""
6500804,6503267,"120955883",6,0,0,""
6500805,6503267,"29185",6,0,0,""
6500806,6503267,"120955578",6,0,0,""
6500807,6503267,"30004",6,0,0,""
6500808,6503267,"29995",6,0,0,""
6500809,6503267,"34900",6,0,0,""
6500814,6503267,"120955632",6,0,0,""
6500815,6503267,"120954909",6,0,0,""
6500816,6503267,"120954987",6,0,0,""
6500817,6503267,"29274",6,0,0,""
6500822,6503267,"36855",6,0,0,""
6500823,6503267,"120950257",6,0,0,""
6500824,6503267,"29996",6,0,0,""
6500825,6503267,"120950066",6,0,0,""
6500826,6503267,"29175",6,0,0,""
6500827,6503267,"29275",6,0,0,""
6500828,6503267,"120955880",6,0,0,""
6500829,6503267,"120955885",6,0,0,""
6500830,6503267,"120955882",6,0,0,""
6500831,6503267,"120955879",6,0,0,""
6500832,6503267,"120955305",6,0,0,""
6500833,6503267,"120955306",6,0,0,""
6500834,6503267,"120955888",6,0,0,""
6500835,6503267,"120955881",6,0,0,""
6500836,6503267,"30058",6,0,0,""
6500837,6503267,"120951464",6,0,0,""
6500838,6503267,"120955887",6,0,0,""
6500839,6503267,"120955308",6,0,0,""
6500840,6503267,"120955304",6,0,0,""
6500841,6503267,"30275",6,0,0,""
6500842,6503267,"30283",6,0,0,""
6500843,6503267,"120955310",6,0,0,""
6500845,6503267,"34903",6,0,0,""
6500846,6503267,"120951174",6,0,0,""
6500847,6503267,"120951175",6,0,0,""
6500848,6503267,"120950762",6,0,0,""
6500849,6503267,"120951371",6,0,0,""
6500850,6503267,"120951373",6,0,0,""
6500851,6503267,"120950763",6,0,0,""
6500861,6503267,"120951221",6,0,0,""
6500810,6503267,"34905",6,0,0,""
6500811,6503267,"31747",6,0,0,""
6500812,6503267,"31746",6,0,0,""
6500813,6503267,"120955631",6,0,0,""
6500818,6503267,"120954911",6,0,0,""
6500819,6503267,"120952418",6,0,0,""
6500820,6503267,"33843",6,0,0,""
6500821,6503267,"27100",6,0,0,""
6500844,6503267,"34904",6,0,0,""
6500862,6503267,"120951332",6,0,0,""
6500863,6503267,"31920",6,0,0,""
6500864,6503267,"120951284",6,0,0,""
6500865,6503267,"120950431",6,0,0,""
6500866,6503267,"120960745",100,0,0,""
6500867,6503267,"120950385",6,0,0,""
6500868,6503267,"120950741",6,0,0,""
6500869,6503267,"120951350",6,0,0,""
6500870,6503267,"32976",1000022,0,0,""
6500871,6503267,"32975",1000022,0,0,""
6500872,6503267,"32980",1000022,0,0,""
6500873,6503267,"32977",1000022,0,0,""
6500874,6503267,"32981",1000022,0,0,""
6500875,6503267,"32986",1000022,0,1,""
6500876,6503267,"32985",1000022,0,2,""
6500781,6503267,"27531",6,0,0,""
6500782,6503267,"27534",6,0,0,""
6500783,6503267,"27928",6,0,0,""
6500784,6503267,"27535",6,0,0,""
6500785,6503267,"27266",6,0,0,""
